,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,-617000000.0,-10255000000.0,-1810000000.0,-737000000.0,-603000000.0
Change To Liabilities,84000000.0,96000000.0,12000000.0,73000000.0,263000000.0
Total Cashflows From Investing Activities,-4885000000.0,-12470000000.0,-4593000000.0,553000000.0,-5508000000.0
Net Borrowings,1669000000.0,5501000000.0,1440000000.0,-1508000000.0,237000000.0
Total Cash From Financing Activities,1192000000.0,8850000000.0,1475000000.0,-2373000000.0,1260000000.0
Change To Operating Activities,178000000.0,263000000.0,-671000000.0,716000000.0,1985000000.0
Issuance Of Stock,47000000.0,2272000000.0,1830000000.0,11000000.0,5000000.0
Net Income,256000000.0,1049000000.0,2197000000.0,3932000000.0,1317000000.0
Change In Cash,-61000000.0,-118000000.0,-29000000.0,768000000.0,-404000000.0
Repurchase Of Stock,-15000000.0,-21000000.0,-26000000.0,-566000000.0,-339000000.0
Effect Of Exchange Rate,7000000.0,-14000000.0,1000000.0,-3000000.0,2000000.0
Total Cash From Operating Activities,3625000000.0,3516000000.0,3088000000.0,2591000000.0,3842000000.0
Depreciation,1386000000.0,1486000000.0,1562000000.0,1657000000.0,1855000000.0
Other Cashflows From Investing Activities,-430000000.0,-246000000.0,26000000.0,5947000000.0,72000000.0
Dividends Paid,-755000000.0,-966000000.0,-1135000000.0,-1331000000.0,-1430000000.0
Change To Inventory,-42000000.0,32000000.0,-22000000.0,-35000000.0,-87000000.0
Change To Account Receivables,29000000.0,-145000000.0,-91000000.0,-315000000.0,-599000000.0
Other Cashflows From Financing Activities,246000000.0,-194000000.0,-634000000.0,130000000.0,2787000000.0
Change To Netincome,1762000000.0,642000000.0,260000000.0,-3352000000.0,-854000000.0
Capital Expenditures,-3705000000.0,-3549000000.0,-3708000000.0,-4676000000.0,-5015000000.0
