,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Investments,2587000000.0,6022000000.0,-5224000000.0,-2256000000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,6188000000.0,3696000000.0,-5575000000.0,996000000.0
Net Borrowings,-170000000.0,-558000000.0,-1310000000.0,-2910000000.0
Total Cash From Financing Activities,-611000000.0,-1829000000.0,-799000000.0,1373000000.0
Change To Operating Activities,-30000000.0,200000000.0,-222000000.0,126000000.0
Issuance Of Stock,2000000.0,3000000.0,2000000.0,3000000.0
Net Income,1593000000.0,799000000.0,771000000.0,-368000000.0
Change In Cash,7085000000.0,3500000000.0,-5078000000.0,3956000000.0
Repurchase Of Stock,-119000000.0,-5000000.0,-5000000.0,-5000000.0
Total Cash From Operating Activities,1508000000.0,1633000000.0,1296000000.0,1587000000.0
Depreciation,119000000.0,23000000.0,116000000.0,123000000.0
Dividends Paid,-159000000.0,-152000000.0,-135000000.0,-151000000.0
Other Cashflows From Financing Activities,-165000000.0,-1117000000.0,644000000.0,3938000000.0
Change To Netincome,-174000000.0,511000000.0,631000000.0,1706000000.0
Capital Expenditures,-41000000.0,-55000000.0,-53000000.0,-94000000.0
