,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Intangible Assets,8353400000.0,7684600000.0,7257600000.0,7055500000.0,6299800000.0
Total Liab,14278500000.0,12850700000.0,12245900000.0,12218300000.0,10790000000.0
Total Stockholder Equity,11735800000.0,11271300000.0,12388100000.0,12194200000.0,12666400000.0
Other Current Liab,484300000.0,602800000.0,456300000.0,558600000.0,1862800000.0
Total Assets,26014000000.0,24126800000.0,24638700000.0,24417700000.0,23456400000.0
Common Stock,3100000.0,3100000.0,3100000.0,3100000.0,12666400000.0
Other Current Assets,14500000.0,37900000.0,41800000.0,13700000.0,607100000.0
Other Liab,2291300000.0,2013200000.0,1867500000.0,1788800000.0,1858400000.0
Good Will,10668400000.0,9594400000.0,9599700000.0,9261800000.0,9192200000.0
Other Assets,384300000.0,387100000.0,652900000.0,694900000.0,1062900000.0
Cash,524400000.0,542800000.0,617900000.0,802100000.0,478500000.0
Total Current Liabilities,3069700000.0,2421300000.0,3441500000.0,2556900000.0,3467900000.0
Short Long Term Debt,1225000000.0,525000000.0,1500000000.0,555000000.0,1605100000.0
Property Plant Equipment,2038600000.0,2015400000.0,2344100000.0,2322200000.0,2016500000.0
Total Current Assets,4564800000.0,4427400000.0,4723900000.0,5083300000.0,4885000000.0
Net Tangible Assets,-7286000000.0,-6007700000.0,-4469200000.0,-4123100000.0,-2825600000.0
Net Receivables,1544100000.0,1275800000.0,1363900000.0,1452700000.0,1404900000.0
Long Term Debt,8917500000.0,8416200000.0,6721400000.0,7654800000.0,5463700000.0
Inventory,2068300000.0,2256500000.0,2385000000.0,2450700000.0,2394500000.0
Capital Surplus,8514900000.0,8686100000.0,8920100000.0,9121600000.0,
Minority Interest,-300000.0,4800000.0,4700000.0,5200000.0,
Retained Earnings,10022800000.0,9491200000.0,10427300000.0,10086900000.0,
Treasury Stock,-6805000000.0,-6909100000.0,-6962400000.0,-7017400000.0,
Other Stockholder Equity,-83200000.0,-187400000.0,-241900000.0,-297800000.0,
Accounts Payable,330200000.0,362600000.0,400900000.0,330000000.0,
Long Term Investments,4500000.0,17900000.0,60500000.0,,
