,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Investments,-910000000.0,-337000000.0,-2697000000.0,3920000000.0,-879000000.0,361000000.0,-1651000000.0,1145000000.0,-1026000000.0
Change To Liabilities,415000000.0,567000000.0,-112000000.0,33000000.0,566000000.0,891000000.0,128000000.0,392000000.0,810000000.0
Total Cashflows From Investing Activities,-1026000000.0,-285000000.0,-2198000000.0,513000000.0,-670000000.0,446000000.0,221000000.0,981000000.0,-1119000000.0
Total Cash From Financing Activities,-614000000.0,-1188000000.0,886000000.0,-1480000000.0,-842000000.0,-1743000000.0,-1175000000.0,-1046000000.0,-918000000.0
Change To Operating Activities,169000000.0,864000000.0,-1024000000.0,-850000000.0,-360000000.0,217000000.0,-564000000.0,-460000000.0,1231000000.0
Issuance Of Stock,44000000.0,2000000.0,9000000.0,4000000.0,81000000.0,23000000.0,6000000.0,17000000.0,38000000.0
Net Income,1250000000.0,1153000000.0,2624000000.0,-1381000000.0,1625000000.0,538000000.0,817000000.0,656000000.0,-1015000000.0
Change In Cash,209000000.0,-177000000.0,7000000.0,421000000.0,16000000.0,32000000.0,-83000000.0,367000000.0,-364000000.0
Repurchase Of Stock,-407000000.0,-916000000.0,-467000000.0,-467000000.0,-564000000.0,-1226000000.0,-863000000.0,-802000000.0,-683000000.0
Total Cash From Operating Activities,1849000000.0,1296000000.0,1319000000.0,1388000000.0,1528000000.0,1329000000.0,871000000.0,432000000.0,1673000000.0
Depreciation,163000000.0,182000000.0,186000000.0,260000000.0,311000000.0,247000000.0,268000000.0,236000000.0,216000000.0
Dividends Paid,-199000000.0,-195000000.0,-194000000.0,-191000000.0,-275000000.0,-271000000.0,-262000000.0,-256000000.0,-263000000.0
Change To Account Receivables,55000000.0,-234000000.0,150000000.0,-124000000.0,-211000000.0,-271000000.0,108000000.0,-502000000.0,-162000000.0
Other Cashflows From Financing Activities,-52000000.0,-79000000.0,-118000000.0,-154000000.0,-84000000.0,-69000000.0,-42000000.0,-5000000.0,-10000000.0
Change To Netincome,-432000000.0,-362000000.0,-890000000.0,3269000000.0,-387000000.0,-159000000.0,-204000000.0,18000000.0,975000000.0
Capital Expenditures,-101000000.0,-69000000.0,-73000000.0,-61000000.0,-136000000.0,-89000000.0,-59000000.0,-130000000.0,-98000000.0
Net Borrowings,1189000000.0,1189000000.0,1189000000.0,-422000000.0,-14000000.0,-14000000.0,-14000000.0,,
Other Cashflows From Investing Activities,,4000000.0,4000000.0,4000000.0,4000000.0,-4000000.0,-4000000.0,,
