,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Intangible Assets,4747000000.0,5497000000.0,5180000000.0,4227000000.0,6142000000.0
Capital Surplus,3313000000.0,3310000000.0,3463000000.0,3498000000.0,3722000000.0
Total Liab,89871000000.0,90937000000.0,93952000000.0,95770000000.0,74313000000.0
Total Stockholder Equity,20805000000.0,19382000000.0,23750000000.0,28247000000.0,23209000000.0
Minority Interest,,,,,-52000000.0
Other Current Liab,13837000000.0,14779000000.0,15850000000.0,49297000000.0,19856000000.0
Total Assets,112422000000.0,112249000000.0,119950000000.0,125987000000.0,99440000000.0
Common Stock,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0
Other Current Assets,9635000000.0,10304000000.0,9968000000.0,49746000000.0,10447000000.0
Retained Earnings,43162000000.0,44033000000.0,48074000000.0,52767000000.0,53294000000.0
Other Liab,42485000000.0,41277000000.0,42244000000.0,9570000000.0,11831000000.0
Good Will,2181000000.0,2530000000.0,2545000000.0,2369000000.0,3502000000.0
Treasury Stock,-25679000000.0,-27970000000.0,-27796000000.0,-28027000000.0,-33816000000.0
Other Assets,14018000000.0,13403000000.0,14184000000.0,4259000000.0,7631000000.0
Cash,617000000.0,499000000.0,338000000.0,311000000.0,763000000.0
Total Current Liabilities,41036000000.0,43209000000.0,44491000000.0,77864000000.0,54136000000.0
Short Long Term Debt,-1000000.0,,,,2000000.0
Other Stockholder Equity,303000000.0,115000000.0,1950000000.0,3304000000.0,655000000.0
Property Plant Equipment,1072000000.0,1045000000.0,1628000000.0,1450000000.0,1253000000.0
Total Current Assets,17982000000.0,19985000000.0,21034000000.0,63327000000.0,23584000000.0
Long Term Investments,72422000000.0,69789000000.0,75379000000.0,50355000000.0,57328000000.0
Net Tangible Assets,18068000000.0,16139000000.0,20724000000.0,25425000000.0,18287000000.0
Short Term Investments,1944000000.0,3027000000.0,4256000000.0,6807000000.0,4009000000.0
Net Receivables,5786000000.0,6154000000.0,6472000000.0,6463000000.0,8364000000.0
Long Term Debt,6350000000.0,6451000000.0,6631000000.0,7825000000.0,7976000000.0
Accounts Payable,27200000000.0,28430000000.0,28641000000.0,28567000000.0,34183000000.0
Deferred Long Term Liab,36000000.0,34000000.0,27000000.0,,
