,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,397000000.0,-424000000.0,-685000000.0,-2028000000.0,-686000000.0,71000000.0,-303000000.0
Change To Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-404000000.0,-1391000000.0,-1108000000.0,-969000000.0,130000000.0,-332000000.0,-1207000000.0
Total Cash From Financing Activities,598000000.0,-583000000.0,-684000000.0,-470000000.0,-671000000.0,-756000000.0,-842000000.0
Change To Operating Activities,568000000.0,665000000.0,422000000.0,204000000.0,274000000.0,292000000.0,206000000.0
Net Income,805000000.0,2456000000.0,952000000.0,1293000000.0,1105000000.0,888000000.0,1039000000.0
Change In Cash,1380000000.0,35000000.0,-422000000.0,-151000000.0,479000000.0,739000000.0,-1157000000.0
Repurchase Of Stock,-188000000.0,-400000000.0,-500000000.0,-650000000.0,-500000000.0,-526000000.0,-625000000.0
Effect Of Exchange Rate,-1000000.0,9000000.0,13000000.0,-78000000.0,58000000.0,-26000000.0,22000000.0
Total Cash From Operating Activities,1187000000.0,2000000000.0,1357000000.0,1366000000.0,962000000.0,1853000000.0,870000000.0
Other Cashflows From Investing Activities,-757000000.0,-951000000.0,-684000000.0,1290000000.0,1282000000.0,-291000000.0,-530000000.0
Dividends Paid,-193000000.0,-192000000.0,-189000000.0,-219000000.0,-211000000.0,-217000000.0,-208000000.0
Change To Account Receivables,-80000000.0,77000000.0,40000000.0,-19000000.0,15000000.0,26000000.0,50000000.0
Other Cashflows From Financing Activities,-33000000.0,3000000.0,-2000000.0,-10000000.0,-17000000.0,-13000000.0,-22000000.0
Change To Netincome,-124000000.0,-98000000.0,-488000000.0,-754000000.0,-480000000.0,143000000.0,-564000000.0
Net Borrowings,1000000000.0,400000000.0,400000000.0,400000000.0,53000000.0,,
Issuance Of Stock,12000000.0,6000000.0,7000000.0,9000000.0,4000000.0,,13000000.0
Depreciation,41000000.0,41000000.0,41000000.0,,,,45000000.0
