,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Net Income,2373000000.0,2137000000.0,3126000000.0,3026000000.0,2575000000.0,3584000000.0,3959000000.0,3647000000.0,3411000000.0,0.0
Change To Liabilities,-7000000.0,14000000.0,-39000000.0,-2000000.0,42000000.0,87000000.0,-9000000.0,-66000000.0,46000000.0,0.0
Investments,-16000000.0,-709000000.0,830000000.0,996000000.0,187000000.0,-1494000000.0,386000000.0,-414000000.0,-1875000000.0,
Total Cashflows From Investing Activities,-133000000.0,-881000000.0,639000000.0,835000000.0,72000000.0,-1698000000.0,-547000000.0,-1785000000.0,-2063000000.0,
Net Borrowings,2984000000.0,3227000000.0,-3000000000.0,,300000000.0,300000000.0,300000000.0,300000000.0,2918000000.0,
Total Cash From Financing Activities,1164000000.0,755000000.0,-5572000000.0,-2373000000.0,-2846000000.0,-3619000000.0,-4967000000.0,-3400000000.0,-289000000.0,
Change To Operating Activities,-1098000000.0,-2304000000.0,-1663000000.0,-1700000000.0,-1155000000.0,-1929000000.0,-1917000000.0,-3148000000.0,-1247000000.0,
Issuance Of Stock,33000000.0,48000000.0,61000000.0,47000000.0,54000000.0,46000000.0,59000000.0,54000000.0,40000000.0,
Change In Cash,4118000000.0,2237000000.0,-1116000000.0,1503000000.0,1716000000.0,-1475000000.0,-1476000000.0,-1807000000.0,2480000000.0,
Repurchase Of Stock,-1072000000.0,-1544000000.0,-1930000000.0,-1719000000.0,-2202000000.0,-2969000000.0,-4217000000.0,-2952000000.0,-2434000000.0,
Effect Of Exchange Rate,85000000.0,267000000.0,304000000.0,-288000000.0,76000000.0,-129000000.0,-194000000.0,-111000000.0,-420000000.0,
Total Cash From Operating Activities,3002000000.0,2096000000.0,3513000000.0,3329000000.0,4414000000.0,3971000000.0,4232000000.0,3489000000.0,5252000000.0,
Depreciation,197000000.0,196000000.0,197000000.0,201000000.0,204000000.0,202000000.0,198000000.0,207000000.0,230000000.0,
Other Cashflows From Investing Activities,44000000.0,-4000000.0,44000000.0,-3000000.0,64000000.0,4000000.0,72000000.0,9000000.0,47000000.0,
Dividends Paid,-663000000.0,-662000000.0,-703000000.0,-701000000.0,-698000000.0,-696000000.0,-809000000.0,-802000000.0,-798000000.0,
Change To Account Receivables,70000000.0,-151000000.0,-108000000.0,-57000000.0,-55000000.0,-123000000.0,-213000000.0,40000000.0,93000000.0,
Other Cashflows From Financing Activities,-118000000.0,-314000000.0,,,,-15000000.0,-15000000.0,-15000000.0,-15000000.0,
Change To Netincome,1467000000.0,2204000000.0,2000000000.0,1861000000.0,2803000000.0,2150000000.0,2214000000.0,2809000000.0,2719000000.0,
Capital Expenditures,-161000000.0,-168000000.0,-160000000.0,-158000000.0,-179000000.0,-208000000.0,-173000000.0,-267000000.0,-235000000.0,
