,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Intangible Assets,46726000.0,45380000.0,61435000.0,59325000.0,57000000.0,156000000.0,160000000.0,154000000.0,148000000.0
Capital Surplus,1522728000.0,1548918000.0,1585244000.0,2590576000.0,2755000000.0,5100000000.0,5157000000.0,5180000000.0,5223000000.0
Total Liab,78262672000.0,88949391000.0,107077516000.0,132225841000.0,151432000000.0,176327000000.0,194869000000.0,203995000000.0,198113000000.0
Total Stockholder Equity,6979235000.0,7452797000.0,7879562000.0,8815559000.0,9603000000.0,12236000000.0,12590000000.0,12334000000.0,12272000000.0
Minority Interest,148940000.0,174445000.0,213791000.0,225887000.0,300000000.0,369000000.0,373000000.0,380000000.0,358000000.0
Total Assets,85730985000.0,96916771000.0,115511007000.0,142346620000.0,163399000000.0,190996000000.0,211478000000.0,220355000000.0,214389000000.0
Other Current Assets,12407095000.0,13347052000.0,2434719000.0,19806583000.0,18066000000.0,13125000000.0,6275000000.0,3087000000.0,2776000000.0
Retained Earnings,4841720000.0,5283433000.0,5671749000.0,6203969000.0,6706000000.0,7071000000.0,7442000000.0,7914000000.0,8247000000.0
Other Liab,924997000.0,1107156000.0,1024315000.0,2790864000.0,1197000000.0,1289000000.0,1293000000.0,2817000000.0,2721000000.0
Good Will,137823000.0,137823000.0,142685000.0,142685000.0,143000000.0,344000000.0,375000000.0,375000000.0,375000000.0
Treasury Stock,614735000.0,620394000.0,622517000.0,20960000.0,142000000.0,65000000.0,-9000000.0,-760000000.0,-1198000000.0
Other Assets,36424685000.0,38248085000.0,45043780000.0,47595773000.0,50705000000.0,61685000000.0,66547000000.0,68244000000.0,70410000000.0
Cash,2885058000.0,3337612000.0,17365455000.0,4366421000.0,6797000000.0,6318000000.0,8326000000.0,20606000000.0,15398000000.0
Total Current Liabilities,76279575000.0,86764935000.0,105001566000.0,127809381000.0,148124000000.0,172723000000.0,190695000000.0,198233000000.0,191648000000.0
Other Stockholder Equity,614735000.0,620394000.0,622517000.0,20960000.0,142000000.0,65000000.0,-9000000.0,-760000000.0,-1198000000.0
Property Plant Equipment,384632000.0,393970000.0,385750000.0,413370000.0,421000000.0,559000000.0,583000000.0,585000000.0,599000000.0
Total Current Assets,16095132000.0,17596371000.0,20553281000.0,25043260000.0,26179000000.0,20311000000.0,15828000000.0,23694000000.0,18175000000.0
Long Term Investments,32641987000.0,40495142000.0,49324076000.0,69092207000.0,85894000000.0,107941000000.0,127985000000.0,127303000000.0,124682000000.0
Net Tangible Assets,6794686000.0,7269594000.0,7675442000.0,8613549000.0,9403000000.0,11736000000.0,12055000000.0,11805000000.0,11749000000.0
Long Term Debt,843220000.0,843430000.0,843628000.0,1338183000.0,1834000000.0,1925000000.0,2570000000.0,2571000000.0,3367000000.0
Inventory,,1179000.0,1179000.0,1179000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
Accounts Payable,74505764000.0,84773020000.0,101981807000.0,124150106000.0,145838000000.0,171182000000.0,189203000000.0,198134000000.0,187945000000.0
Other Current Liab,1278006000.0,1468525000.0,2164805000.0,3083189000.0,1626000000.0,519000000.0,160000000.0,1062000000.0,
Deferred Long Term Asset Charges,577000.0,347000.0,776000.0,1847000.0,2000000.0,,24000000.0,274000000.0,
Short Term Investments,317048000.0,450164000.0,226847000.0,288438000.0,762000000.0,216000000.0,607000000.0,420000000.0,
Net Receivables,45501000.0,33320000.0,36812000.0,30999000.0,29000000.0,63000000.0,54000000.0,53000000.0,
Common Stock,52000.0,52000.0,52000.0,54000.0,,,,,
