,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,126700000.0,183400000.0,680500000.0,-558900000.0
Change To Liabilities,122500000.0,230700000.0,-55100000.0,110100000.0
Total Cashflows From Investing Activities,-2099500000.0,9700000.0,470500000.0,-918300000.0
Net Borrowings,-130600000.0,-348000000.0,-43800000.0,-175000000.0
Total Cash From Financing Activities,-611900000.0,-739100000.0,-102400000.0,-596600000.0
Change To Operating Activities,-111900000.0,-31000000.0,-155600000.0,-137200000.0
Issuance Of Stock,58700000.0,29900000.0,47300000.0,85900000.0
Net Income,603400000.0,2404300000.0,77600000.0,443300000.0
Change In Cash,311000000.0,1356300000.0,782900000.0,-381600000.0
Repurchase Of Stock,-510800000.0,-416000000.0,-85000000.0,-463600000.0
Effect Of Exchange Rate,19500000.0,800000.0,-11200000.0,17700000.0
Total Cash From Operating Activities,3002900000.0,2084900000.0,426000000.0,1115600000.0
Depreciation,308300000.0,356500000.0,379900000.0,471500000.0
Other Cashflows From Investing Activities,-7600000.0,-3000000.0,3000000.0,-2100000.0
Change To Inventory,95000000.0,-160200000.0,-35200000.0,-88200000.0
Change To Account Receivables,-139400000.0,-319200000.0,-208800000.0,-55200000.0
Other Cashflows From Financing Activities,-29200000.0,-5000000.0,-20900000.0,-43900000.0
Change To Netincome,2103900000.0,-416500000.0,397800000.0,346100000.0
Capital Expenditures,-106700000.0,-154700000.0,-213000000.0,-357300000.0
