,2020-06-30,2020-09-30,2020-12-31,2021-03-31
Intangible Assets,2059700000.0,3056600000.0,3055500000.0,3048300000.0
Capital Surplus,8942400000.0,9030400000.0,9152900000.0,9243300000.0
Total Liab,6212400000.0,6473500000.0,6451800000.0,6219200000.0
Total Stockholder Equity,10490800000.0,11074900000.0,11651200000.0,12416800000.0
Minority Interest,,,,14200000.0
Other Current Liab,86200000.0,79200000.0,525700000.0,201300000.0
Total Assets,16703200000.0,17548400000.0,18103000000.0,18650200000.0
Other Current Assets,91300000.0,72100000.0,96100000.0,118400000.0
Retained Earnings,4129300000.0,4707400000.0,5243200000.0,5879200000.0
Other Liab,2446000000.0,2356100000.0,2117700000.0,2100700000.0
Good Will,5075200000.0,5100700000.0,5100100000.0,5100100000.0
Treasury Stock,-2580900000.0,-2662900000.0,-2744900000.0,-2705700000.0
Other Assets,2794100000.0,2747300000.0,2521400000.0,2455400000.0
Cash,2825000000.0,2268000000.0,2964500000.0,3429600000.0
Total Current Liabilities,1120100000.0,1331000000.0,1624700000.0,1426200000.0
Deferred Long Term Asset Charges,2332400000.0,2270500000.0,2199400000.0,2140600000.0
Short Long Term Debt,172300000.0,184200000.0,188300000.0,188900000.0
Other Stockholder Equity,-110900000.0,-119200000.0,-124600000.0,-85200000.0
Property Plant Equipment,1406300000.0,1434600000.0,1408800000.0,1461600000.0
Total Current Assets,5367900000.0,5067800000.0,5833000000.0,6452600000.0
Long Term Investments,,141400000.0,184200000.0,132200000.0
Net Tangible Assets,3355900000.0,2917600000.0,3495600000.0,4268400000.0
Short Term Investments,26800000.0,28900000.0,34900000.0,39700000.0
Net Receivables,1372200000.0,1437100000.0,1409300000.0,1473000000.0
Long Term Debt,2381200000.0,2510900000.0,2465000000.0,2421700000.0
Inventory,577700000.0,729000000.0,775700000.0,803900000.0
Accounts Payable,861600000.0,89200000.0,118600000.0,125300000.0
