,2017-09-30,2018-09-29,2019-09-28,2020-09-26,2021-09-25,2022-09-24
Total Liab,241272000000.0,258578000000.0,248028000000.0,258549000000.0,287912000000.0,302083000000.0
Total Stockholder Equity,134047000000.0,107147000000.0,90488000000.0,65339000000.0,63090000000.0,50672000000.0
Other Current Liab,38099000000.0,39293000000.0,43242000000.0,47867000000.0,53577000000.0,67094000000.0
Total Assets,375319000000.0,365725000000.0,338516000000.0,323888000000.0,351002000000.0,352755000000.0
Common Stock,35867000000.0,40201000000.0,45174000000.0,50779000000.0,57365000000.0,64849000000.0
Other Current Assets,13936000000.0,12087000000.0,12352000000.0,11264000000.0,14111000000.0,21223000000.0
Retained Earnings,98330000000.0,70400000000.0,45898000000.0,14966000000.0,5562000000.0,-3068000000.0
Other Liab,43251000000.0,48914000000.0,50503000000.0,46108000000.0,43050000000.0,38394000000.0
Treasury Stock,-150000000.0,-3454000000.0,-584000000.0,-406000000.0,163000000.0,-11109000000.0
Other Assets,18177000000.0,22283000000.0,32978000000.0,33952000000.0,38762000000.0,44011000000.0
Cash,20289000000.0,25913000000.0,48844000000.0,38016000000.0,34940000000.0,23646000000.0
Total Current Liabilities,100814000000.0,115929000000.0,105718000000.0,105392000000.0,125481000000.0,153982000000.0
Short Long Term Debt,6496000000.0,8784000000.0,10260000000.0,8773000000.0,9613000000.0,11128000000.0
Other Stockholder Equity,-150000000.0,-3454000000.0,-584000000.0,-406000000.0,163000000.0,-11109000000.0
Property Plant Equipment,33783000000.0,41304000000.0,37378000000.0,45336000000.0,49527000000.0,52534000000.0
Total Current Assets,128645000000.0,131339000000.0,162819000000.0,143713000000.0,134836000000.0,135405000000.0
Long Term Investments,194714000000.0,170799000000.0,105341000000.0,100887000000.0,127877000000.0,120805000000.0
Net Tangible Assets,134047000000.0,107147000000.0,90488000000.0,65339000000.0,63090000000.0,50672000000.0
Short Term Investments,53892000000.0,40388000000.0,51713000000.0,52927000000.0,27699000000.0,24658000000.0
Net Receivables,35673000000.0,48995000000.0,45804000000.0,37445000000.0,51506000000.0,60932000000.0
Long Term Debt,97207000000.0,93735000000.0,91807000000.0,98667000000.0,109106000000.0,98959000000.0
Inventory,4855000000.0,3956000000.0,4106000000.0,4061000000.0,6580000000.0,4946000000.0
Accounts Payable,44242000000.0,55888000000.0,46236000000.0,42296000000.0,54763000000.0,64115000000.0
