,2020-09-25,2020-12-31,2021-02-04,2021-04-02,2021-07-02,2021-10-01,2021-12-31,2022-04-01,2022-07-01,2022-09-30
Intangible Assets,3595600000.0,3290600000.0,,3209700000.0,3133700000.0,3392100000.0,3890200000.0,3788900000.0,3678500000.0,3568300000.0
Capital Surplus,3391700000.0,3554500000.0,,3563800000.0,3602100000.0,3624300000.0,3670000000.0,3619100000.0,3651200000.0,3677400000.0
Total Liab,9511600000.0,7078800000.0,,5262200000.0,5285800000.0,5653300000.0,6948500000.0,6699700000.0,6621500000.0,6497400000.0
Total Stockholder Equity,7676100000.0,8964200000.0,,9009000000.0,9205000000.0,9318000000.0,9512200000.0,9561400000.0,9444300000.0,9390800000.0
Minority Interest,12000000.0,8500000.0,,7700000.0,4700000.0,4800000.0,4800000.0,5300000.0,5100000.0,4900000.0
Total Assets,17199700000.0,16051500000.0,,14278900000.0,14495500000.0,14976100000.0,16465500000.0,16266400000.0,16070900000.0,15893100000.0
Common Stock,3400000.0,3400000.0,,3400000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0
Retained Earnings,4372700000.0,5547400000.0,,5616600000.0,5756600000.0,5882200000.0,6023600000.0,6226400000.0,6374500000.0,6539600000.0
Other Liab,1600400000.0,1233400000.0,,1193200000.0,1128600000.0,1198000000.0,1286400000.0,1399200000.0,1328000000.0,1346300000.0
Good Will,8341000000.0,7359200000.0,,7340400000.0,7347300000.0,8221500000.0,9152000000.0,9132900000.0,9058200000.0,8977500000.0
Treasury Stock,-91700000.0,-141100000.0,,-174800000.0,-157300000.0,-192100000.0,-185000000.0,-287700000.0,-585000000.0,-829800000.0
Other Assets,759700000.0,267100000.0,,331200000.0,348000000.0,361900000.0,337300000.0,484300000.0,481300000.0,494200000.0
Cash,1489100000.0,1824800000.0,,1299600000.0,1565800000.0,838400000.0,819300000.0,684300000.0,682900000.0,705300000.0
Total Current Liabilities,3041000000.0,2860800000.0,,2474800000.0,2569700000.0,2868900000.0,3714900000.0,2561600000.0,2611300000.0,2592100000.0
Short Long Term Debt,999200000.0,1399800000.0,,1126000000.0,1134600000.0,1143200000.0,2151700000.0,999800000.0,999900000.0,999900000.0
Other Stockholder Equity,-91700000.0,-141100000.0,,-174800000.0,-157300000.0,-192100000.0,-185000000.0,-223900000.0,-342100000.0,-453700000.0
Property Plant Equipment,728700000.0,610700000.0,,596700000.0,580100000.0,575300000.0,571100000.0,412600000.0,407600000.0,405200000.0
Total Current Assets,3774700000.0,4446900000.0,,2800900000.0,3086400000.0,2425300000.0,2514900000.0,2447700000.0,2445300000.0,2447900000.0
Net Tangible Assets,-4260500000.0,-1685600000.0,,-1541100000.0,-1276000000.0,-2295600000.0,-3530000000.0,-3360400000.0,-3292400000.0,-3155000000.0
Net Receivables,1207600000.0,810300000.0,,829500000.0,817900000.0,830400000.0,930200000.0,929000000.0,940900000.0,901000000.0
Long Term Debt,4699200000.0,2830300000.0,,1441500000.0,1441800000.0,1442100000.0,1807300000.0,2738900000.0,2682200000.0,2559000000.0
Inventory,661800000.0,455500000.0,,466600000.0,488000000.0,506800000.0,512700000.0,553300000.0,547700000.0,560500000.0
Accounts Payable,777100000.0,480800000.0,,464500000.0,489400000.0,494900000.0,557900000.0,576100000.0,581700000.0,572600000.0
Other Current Liab,456700000.0,646400000.0,,400600000.0,400100000.0,401700000.0,681400000.0,491400000.0,479800000.0,
Other Current Assets,2100000.0,30400000.0,,,,,,,,
Deferred Long Term Asset Charges,,265900000.0,,,,,,,,
Long Term Investments,,77000000.0,,,,,,,,
Short Term Investments,,1119200000.0,,,,,,,,
