,2020-05-31,2020-08-31,2020-11-30,2021-02-28,2021-05-31,2021-08-31,2021-11-30,2022-02-28,2022-05-31,2022-08-31
Intangible Assets,595402000.0,444194000.0,433470000.0,420672000.0,495420000.0,407164000.0,395130000.0,409075000.0,514800000.0,386132000.0
Total Liab,4434683000.0,4438577000.0,4856793000.0,4530987000.0,4548976000.0,4548547000.0,4454283000.0,4874700000.0,4839060000.0,5031400000.0
Total Stockholder Equity,3235202000.0,3604804000.0,3597960000.0,3816510000.0,3687847000.0,3309203000.0,3563127000.0,3293900000.0,3308196000.0,3229626000.0
Deferred Long Term Liab,227059000.0,229956000.0,232005000.0,229340000.0,227139000.0,227237000.0,228929000.0,232671000.0,232224000.0,239196000.0
Other Current Liab,27099000.0,23251000.0,,,79135000.0,,,98200000.0,97525000.0,35783000.0
Total Assets,7669885000.0,8043381000.0,8454753000.0,8347497000.0,8236823000.0,7857750000.0,8017410000.0,8168600000.0,8147256000.0,8261026000.0
Common Stock,1102689000.0,1345233000.0,1387734000.0,1403229000.0,1417343000.0,1625594000.0,1686293000.0,1729525000.0,1771917000.0,1878837000.0
Other Current Assets,76200000.0,77500000.0,78700000.0,79100000.0,79400000.0,80200000.0,81300000.0,82800000.0,83700000.0,86100000.0
Retained Earnings,7296509000.0,7596514000.0,7509544000.0,7688425000.0,7877015000.0,8109368000.0,8305076000.0,8522327000.0,8719163000.0,8953391000.0
Other Liab,721402000.0,777002000.0,801777000.0,787578000.0,779717000.0,813995000.0,814096000.0,775680000.0,731607000.0,813247000.0
Good Will,2870020000.0,2886048000.0,2889754000.0,2895251000.0,2913069000.0,2924993000.0,2931307000.0,3032738000.0,3042976000.0,3037278000.0
Treasury Stock,-5335517000.0,-5367098000.0,-5350926000.0,-5349595000.0,-5705370000.0,-6425759000.0,-6428242000.0,-6957952000.0,-7182884000.0,-7602602000.0
Other Assets,450932000.0,486257000.0,504901000.0,540038000.0,560255000.0,566858000.0,561470000.0,554190000.0,574384000.0,580313000.0
Cash,145402000.0,421542000.0,703175000.0,553611000.0,493640000.0,79749000.0,113170000.0,84136000.0,90471000.0,74558000.0
Total Current Liabilities,885195000.0,1093350000.0,1508472000.0,1270360000.0,1934085000.0,2269039000.0,2177928000.0,2623490000.0,1432890000.0,1599541000.0
Short Long Term Debt,,249808000.0,249872000.0,249936000.0,899070000.0,1363903000.0,1188425000.0,1002386000.0,311574000.0,507467000.0
Other Stockholder Equity,-153380000.0,-115950000.0,-97407000.0,-12968000.0,30888000.0,-30266000.0,-27258000.0,12147000.0,107917000.0,88124000.0
Property Plant Equipment,1421732000.0,1537505000.0,1498355000.0,1486780000.0,1402270000.0,1460522000.0,1455052000.0,1480171000.0,1377376000.0,1503828000.0
Total Current Assets,2309699000.0,2666177000.0,3102773000.0,2978556000.0,2843309000.0,2477666000.0,2655474000.0,2686741000.0,2631983000.0,2747790000.0
Long Term Investments,22100000.0,23200000.0,25500000.0,26200000.0,22500000.0,20547000.0,18977000.0,5685000.0,5737000.0,5685000.0
Net Tangible Assets,-230220000.0,274562000.0,274736000.0,500587000.0,279358000.0,-22954000.0,236690000.0,-147913000.0,-249580000.0,-193784000.0
Net Receivables,870369000.0,866414000.0,967068000.0,987421000.0,923992000.0,938609000.0,1064577000.0,1070679000.0,1027928000.0,1082783000.0
Long Term Debt,2705391000.0,2446498000.0,2429050000.0,2353978000.0,1704400000.0,1343222000.0,1343367000.0,1344306000.0,2545499000.0,2484602000.0
Inventory,1179309000.0,1244529000.0,1307065000.0,1310575000.0,1291901000.0,1310348000.0,1340929000.0,1368484000.0,1388856000.0,1427605000.0
Accounts Payable,230995000.0,252513000.0,274021000.0,237857000.0,230786000.0,202968000.0,240322000.0,235051000.0,251504000.0,292321000.0
Capital Surplus,171521000.0,30155000.0,51608000.0,74451000.0,98859000.0,,,,,
